"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"FPR1",1.80599103106845e-15,-0.603435094179596,0.343,0.51,4.20994569252367e-11,"FPR1","Up in Influenza"
"AKAP13",2.8988842756842e-15,-0.546635110713938,0.575,0.739,6.75758913504744e-11,"AKAP13","Up in Influenza"
"CCL4",3.00986399007725e-15,-0.931232701269173,0.223,0.49,7.01629394726908e-11,"CCL4","Up in Influenza"
"WASHC2C",3.01842732126158e-15,-1.65961634604828,0.163,0.334,7.03625592859287e-11,"WASHC2C","Up in Influenza"
"FAM129A",3.3633364224812e-15,-1.05939608693225,0.241,0.419,7.84027353444592e-11,"FAM129A","Up in Influenza"
"GIMAP1",3.87518632725275e-15,-1.06416252104206,0.223,0.402,9.03344684745888e-11,"GIMAP1","Up in Influenza"
"CASP1",4.01046841169092e-15,-0.807226127614051,0.378,0.588,9.34880291449271e-11,"CASP1","Up in Influenza"
"CALM2",4.32413697168628e-15,-0.533123454656987,0.662,0.815,1.00799956946979e-10,"CALM2","Up in Influenza"
"SPG21",7.55215601282566e-15,-0.767330071957337,0.306,0.453,1.76048308814979e-10,"SPG21","Up in Influenza"
"H1FX",9.19394359298838e-15,-0.883589798726403,0.557,0.734,2.14320019096152e-10,"H1FX","Up in Influenza"
"GBP5",9.54805762815732e-15,-1.53902726834907,0.149,0.365,2.22574771369975e-10,"GBP5","Up in Influenza"
"FGR",1.01448119841549e-14,-0.638383161001057,0.392,0.633,2.36485712162636e-10,"FGR","Up in Influenza"
"IQGAP1",1.11426514046358e-14,-0.591347932671564,0.583,0.77,2.59746346893466e-10,"IQGAP1","Up in Influenza"
"PYCARD",1.26334718752465e-14,-0.59173414668143,0.463,0.701,2.94498862883872e-10,"PYCARD","Up in Influenza"
"CLIC3",1.97410613258687e-14,-1.44159994225944,0.093,0.262,4.60183880567326e-10,"CLIC3","Up in Influenza"
"CKLF",2.07663811193224e-14,-0.578770911830198,0.402,0.556,4.84085110272525e-10,"CKLF","Up in Influenza"
"SSBP4",2.14100146115018e-14,-1.09046986875559,0.323,0.512,4.99088850608717e-10,"SSBP4","Up in Influenza"
"KIAA0930",2.48768266623645e-14,-1.11082702371516,0.249,0.402,5.79903706326379e-10,"KIAA0930","Up in Influenza"
"TLR2",2.79306219956304e-14,-0.973248217076231,0.223,0.354,6.5109072934014e-10,"TLR2","Up in Influenza"
"CX3CR1",2.95518935237151e-14,-2.52958251108005,0.047,0.268,6.88884189931322e-10,"CX3CR1","Up in Influenza"
"CFP",3.08082429743256e-14,-0.642405063977585,0.315,0.461,7.18170951974505e-10,"CFP","Up in Influenza"
"CD14",3.34332075476075e-14,-0.560290729490193,0.345,0.532,7.79361501142279e-10,"CD14","Up in Influenza"
"FBXL5",3.48587370447991e-14,-0.759805673126037,0.32,0.463,8.12592019251312e-10,"FBXL5","Up in Influenza"
"PSMB3",3.91116591127886e-14,-0.563717056306426,0.556,0.743,9.11731885578216e-10,"PSMB3","Up in Influenza"
"AGTRAP",4.25092726202056e-14,-0.581621855589348,0.405,0.605,9.90933654049614e-10,"AGTRAP","Up in Influenza"
"LRRK2",4.49471835555409e-14,-1.31169650544732,0.239,0.409,1.04776379586322e-09,"LRRK2","Up in Influenza"
"NAP1L1",5.13370269007418e-14,1.91066214020778,0.761,0.622,1.19671743408319e-09,"NAP1L1","Up in Severe COVID"
"HCLS1",5.18692154519044e-14,-0.597004006003582,0.529,0.71,1.20912328139934e-09,"HCLS1","Up in Influenza"
"PPP1CA",5.23624951650681e-14,-0.745373614188632,0.58,0.778,1.2206221247929e-09,"PPP1CA","Up in Influenza"
"RAC2",5.78002996597354e-14,-0.618697527752459,0.63,0.773,1.34738278536809e-09,"RAC2","Up in Influenza"
"GZMB",6.20670930112308e-14,-1.04006756331683,0.152,0.401,1.4468460051848e-09,"GZMB","Up in Influenza"
"DMXL2",7.36295484109361e-14,-1.25331493410119,0.202,0.368,1.71637840300733e-09,"DMXL2","Up in Influenza"
"PSME1",8.32481834023152e-14,-0.81195652742458,0.676,0.834,1.94059840329137e-09,"PSME1","Up in Influenza"
"HIGD2A",9.52001062929149e-14,-0.514102590071662,0.586,0.755,2.21920967779414e-09,"HIGD2A","Up in Influenza"
"CTDNEP1",9.69617477386539e-14,-0.540229557667195,0.438,0.596,2.26027530153576e-09,"CTDNEP1","Up in Influenza"
"RNF213",1.02805931866109e-13,-0.74443683762657,0.535,0.761,2.39650907773088e-09,"RNF213","Up in Influenza"
"ITGAM",1.17380823873566e-13,-0.711075287712703,0.326,0.487,2.73626438531669e-09,"ITGAM","Up in Influenza"
