"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"PTAR1",1.31039451067265e-05,-0.641300610431559,0.208,0.299,0.305466064382901,"PTAR1","Up in Healthy"
"CCT3",1.38212195028958e-05,-0.50489853124648,0.305,0.408,0.322186447832004,"CCT3","Up in Healthy"
"CAND1",1.41895936528778e-05,-0.645408041052768,0.179,0.264,0.330773617642233,"CAND1","Up in Healthy"
"APOBEC3G",1.42962156132847e-05,-0.8321719575063,0.239,0.371,0.33325908216128,"APOBEC3G","Up in Healthy"
"PGD",1.44481124959947e-05,1.49111739108021,0.376,0.248,0.336799950394132,"PGD","Up in Severe"
"PARVB",1.61960801407076e-05,2.50785444935935,0.257,0.167,0.377546824160036,"PARVB","Up in Severe"
"MGAT4A",1.71768245468032e-05,-0.620725496062378,0.319,0.424,0.40040895701053,"MGAT4A","Up in Healthy"
"TMEM109",1.7560094465897e-05,-0.752932305621349,0.177,0.275,0.409343362094525,"TMEM109","Up in Healthy"
"IREB2",1.8361097728254e-05,-0.572294497510173,0.265,0.369,0.428015549143329,"IREB2","Up in Healthy"
"SLC38A1",1.94548064902456e-05,-0.571719069960621,0.234,0.356,0.453510994094115,"SLC38A1","Up in Healthy"
"POLR2B",2.21766447024705e-05,-0.579006207398187,0.241,0.345,0.51695976465929,"POLR2B","Up in Healthy"
"ACAP1",2.51452812009767e-05,-0.632092747038523,0.408,0.53,0.586161650075967,"ACAP1","Up in Healthy"
"DGKZ",2.57941326880222e-05,-0.662866598969137,0.313,0.453,0.601287027090485,"DGKZ","Up in Healthy"
"SPG7",2.75909468842726e-05,-0.605504703968543,0.248,0.355,0.64317256281928,"SPG7","Up in Healthy"
"SRGN",2.76174044326868e-05,0.646311266691302,0.784,0.849,0.643789314730363,"SRGN","Up in Severe"
"MAFB",2.78878651802478e-05,1.50940516934786,0.341,0.245,0.650094025216757,"MAFB","Up in Severe"
"GBP5",2.80398938998072e-05,-0.579531215175094,0.149,0.268,0.653637966698406,"GBP5","Up in Healthy"
"NT5C3A",2.94629080718827e-05,2.36751280155156,0.38,0.288,0.686809850063657,"NT5C3A","Up in Severe"
"RNF11",3.21245910017106e-05,1.34062074979928,0.272,0.206,0.748856340840877,"RNF11","Up in Severe"
"IRF9",3.23792011360445e-05,-0.612124459486836,0.259,0.384,0.754791557682333,"IRF9","Up in Healthy"
"ESYT2",3.60687496882403e-05,-0.839717645026709,0.167,0.276,0.840798623982571,"ESYT2","Up in Healthy"
