"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.97355061064652e-44,8.75971670476063,0.711,0.022,9.2627438284781e-40,"9","CLEC1B"
1.74434066680857e-31,8.73633435387634,0.557,0.015,4.06623252839745e-27,"9","ESAM"
2.61744779658327e-17,8.62416305926843,0.348,0.008,6.10153255861526e-13,"9","AC090409.1"
8.41316958315689e-32,6.62420827806142,0.562,0.007,1.9611939615297e-27,"10","TNFRSF13B"
7.27337828056234e-15,6.14849546868383,0.298,0.007,1.69549721098189e-10,"10","LINC01781"
6.69121163747748e-34,4.36069520231407,0.662,0.035,1.55978834481238e-29,"10","SPIB"
7.54073100160635e-11,4.26063223823612,0.307,0.016,1.75781980378446e-06,"10","LINC01857"
3.52677248957018e-41,4.23317855504573,0.712,0.041,8.22125935043705e-37,"10","BLK"
1.14600312874675e-07,1.83455084737633,0.613,0.428,0.00267144789342155,"11","IFITM3"
0.00249727093396581,1.82260857269078,0.517,0.451,1,"11","NAMPT"
5.91214962030244e-06,1.75502539430704,0.612,0.353,0.13781811979887,"11","AC020656.1"
0.00662890970851369,1.44191030643016,0.285,0.248,1,"11","C5AR1"
1.71518004003014e-14,1.36144670456988,0.911,0.552,3.99825619131426e-10,"11","S100A9"
3.72878724577622e-46,3.88391731334988,0.844,0.119,8.69217594862894e-42,"12","EGR1"
1.15811178557008e-16,3.81887621492697,0.384,0.035,2.69967438334241e-12,"12","FLT3"
6.20658411973294e-24,3.51983999832608,0.485,0.054,1.44681682415094e-19,"12","IL1R2"
3.81850137365145e-20,3.51661783435018,0.456,0.06,8.90130855211891e-16,"12","SGMS2"
1.20084601912633e-60,3.51469053285159,0.997,0.511,2.79929215518538e-56,"12","FOS"
2.22967461121732e-46,3.5853823259269,0.772,0.102,5.19759448620869e-42,"13","LAG3"
5.30961892635113e-23,3.4126808007499,0.492,0.06,1.23772526792171e-18,"13","NPDC1"
7.85097907584856e-44,3.26831606538685,0.786,0.116,1.83014173237106e-39,"13","LAIR2"
2.5118669013386e-58,3.21988368124275,0.982,0.28,5.85541293371042e-54,"13","TRAC"
1.24720898311426e-25,3.14119219257781,0.577,0.084,2.90736886053765e-21,"13","SIT1"
5.05338976080878e-16,7.03325042767171,0.279,0.001,1.17799568714213e-11,"14","SPC25"
1.02904747041892e-17,7.01879877120717,0.332,0.001,2.39881255829353e-13,"14","PKMYT1"
5.66294588276644e-39,6.96031873671537,0.642,0.011,1.32008931473169e-34,"14","TYMS"
1.24344063712745e-19,6.79360691474805,0.343,0.002,2.89858446920781e-15,"14","CDCA5"
1.44405802016117e-20,6.7851332370905,0.342,0.001,3.36624365079771e-16,"14","CDC45"
1.7659544423187e-46,5.29957698612686,0.78,0.042,4.11661640048912e-42,"15","HP"
1.3354666102235e-25,5.28559338640224,0.478,0.018,3.11310621509199e-21,"15","SERPINB2"
2.27109226082786e-63,5.10054422485481,0.941,0.146,5.29414316921583e-59,"15","RETN"
8.73596843104221e-42,3.8079805843678,0.772,0.121,2.03644160096025e-37,"15","CYP1B1"
1.54123577517231e-27,3.59207434697191,0.522,0.046,3.59277471550417e-23,"15","TNNT1"
1.03026529000834e-11,5.70874130358971,0.253,0.01,2.40165141753845e-07,"16","CCL2"
3.57772888459932e-21,5.02926106004858,0.428,0.016,8.34004380288947e-17,"16","OTOF"
2.27713375067012e-29,4.37286718457624,0.632,0.056,5.30822648618711e-25,"16","C15orf48"
8.48443935502989e-28,4.33965561416824,0.49,0.029,1.97780765805102e-23,"16","ANKRD22"
1.12934965777832e-28,4.3247016348293,0.651,0.094,2.63262698724705e-24,"16","IFI27"
1.50798029449216e-47,8.08304780629161,0.777,0.005,3.51525286449067e-43,"17","FCER1A"
1.35168925054044e-30,7.27580705248946,0.583,0.007,3.15092281193483e-26,"17","ENHO"
2.70857156097821e-14,6.67671881086403,0.25,0.002,6.31395116579632e-10,"17","CD1E"
1.74562541463035e-25,6.02531462810581,0.465,0.014,4.0692274040448e-21,"17","SERPINF1"
2.60864001611802e-35,5.61318728609273,0.673,0.031,6.08100074157271e-31,"17","CD1C"
2.70857156097821e-14,13.1683413069194,0.259,0,6.31395116579632e-10,"18","TSPO2"
4.10206391349493e-24,12.5163463477384,0.422,0,9.56232118874802e-20,"18","SPTA1"
4.09738848976278e-25,12.3959450293368,0.446,0,9.55142230848603e-21,"18","GYPA"
1.03826070559514e-18,11.9895914746962,0.328,0,2.42028953081283e-14,"18","IFIT1B"
7.36867324084239e-30,11.7827002284389,0.518,0.001,1.71771141917277e-25,"18","GYPB"
2.01524040280326e-15,8.13345575526181,0.415,0.083,4.69772690297468e-11,"19","IGHA1"
4.32576724090181e-11,8.12220505256711,0.297,0.052,1.00837960152662e-06,"19","IGHG1"
1.85785819501552e-28,7.66432238364394,0.53,0.062,4.33085323840067e-24,"19","JCHAIN"
5.05338976080878e-16,7.510348779606,0.304,0.004,1.17799568714213e-11,"19","TNFRSF17"
2.24971441071393e-09,7.3140331082428,0.297,0.053,5.24430926281523e-05,"19","IGHG4"
5.3940786936346e-17,2.6868600767279,0.367,0.035,1.25741368427316e-12,"20","FCRL2"
2.33416136048029e-12,2.53678306759583,0.281,0.028,5.4411635474156e-08,"20","TNFRSF13B"
1.40076470932274e-14,2.48476634368502,0.342,0.036,3.26532261390225e-10,"20","EBF1"
2.52667036433492e-12,2.38069251731839,0.281,0.03,5.88992128630113e-08,"20","PLEKHG1"
1.83559353449542e-19,2.36963495582932,0.387,0.04,4.27895208826227e-15,"20","CD19"
7.80268831174912e-32,4.507251095983,0.577,0.039,1.81888467235184e-27,"21","TNFRSF4"
4.70658361507691e-15,4.02104061841494,0.309,0.013,1.09715170651058e-10,"21","IL2RA"
2.86638760424707e-32,3.86290247611855,0.686,0.068,6.68183614426036e-28,"21","NPDC1"
3.05516539399826e-32,3.72115151053937,0.629,0.066,7.12189604994935e-28,"21","AQP3"
4.87157449066208e-22,3.67093429839527,0.446,0.032,1.13561272951824e-17,"21","LINC02273"
2.8432697409893e-17,2.21517739757362,0.471,0.057,6.62794609322015e-13,"22","PAX5"
8.2152029903117e-14,2.17021954437316,0.395,0.05,1.91504596907156e-09,"22","POU2AF1"
9.13920322325187e-16,2.14159052528438,0.429,0.052,2.13043966337224e-11,"22","COBLL1"
1.42870143582142e-10,2.12709410950568,0.303,0.035,3.33044591704332e-06,"22","BLNK"
1.41233348159249e-07,2.10680688611666,0.252,0.043,0.00329229057894025,"22","SLC9A7"
