"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"PTGER4",7.14190267165108e-09,-0.963312405185526,0.179,0.3,0.000166484893178858,"PTGER4","Up in Mild"
"B4GALT1",7.6294165100715e-09,-0.607553675632607,0.317,0.441,0.000177849328266277,"B4GALT1","Up in Mild"
"SYAP1",7.72810652631578e-09,-0.733370841753511,0.308,0.429,0.000180149891234947,"SYAP1","Up in Mild"
"NAA38",8.07050288209796e-09,1.11104234497593,0.485,0.415,0.000188131492684586,"NAA38","Up in Severe"
"LITAF",8.49638302621475e-09,-0.53962005990751,0.597,0.719,0.000198059184724092,"LITAF","Up in Mild"
"KLRD1",9.74867387013272e-09,-0.796311770001778,0.13,0.273,0.000227251336586664,"KLRD1","Up in Mild"
"MTURN",1.18122939488484e-08,1.42627416447786,0.261,0.159,0.000275356384241604,"MTURN","Up in Severe"
"CYLD",1.23085634427299e-08,-0.543248290356961,0.434,0.573,0.000286924922413476,"CYLD","Up in Mild"
"WHAMM",1.30455464087893e-08,-0.720956308178409,0.244,0.374,0.000304104732335287,"WHAMM","Up in Mild"
"MAP3K8",1.35548669969082e-08,-0.572193821271123,0.432,0.525,0.000315977504564927,"MAP3K8","Up in Mild"
"ACTN1",1.52907914674248e-08,1.39004872500024,0.32,0.212,0.00035644363989714,"ACTN1","Up in Severe"
"LIMS1",1.55517747793678e-08,1.19657433603706,0.51,0.393,0.000362527421881843,"LIMS1","Up in Severe"
"SMAD7",1.88055864893086e-08,-1.2969339540097,0.12,0.251,0.000438377026652273,"SMAD7","Up in Mild"
"GCA",2.17828204689098e-08,1.59762466509264,0.346,0.219,0.000507779327950757,"GCA","Up in Severe"
"ANKRD12",2.58482178153908e-08,-0.543245769737624,0.561,0.729,0.000602547805494575,"ANKRD12","Up in Mild"
"ITGAL",2.7070596119399e-08,-0.776259043528312,0.279,0.413,0.000631042666139309,"ITGAL","Up in Mild"
"PTPN7",2.7935921760529e-08,-0.914339149404921,0.303,0.464,0.000651214272159691,"PTPN7","Up in Mild"
"IDS",2.94521608856823e-08,-0.652313740948314,0.392,0.542,0.00068655932240614,"IDS","Up in Mild"
"CD3G",3.10787645839449e-08,-0.676618095286786,0.177,0.31,0.00072447708121634,"CD3G","Up in Mild"
"SKAP2",3.60473906107508e-08,1.02844175201967,0.373,0.264,0.000840300722527211,"SKAP2","Up in Severe"
"NDUFAF3",3.61464126197725e-08,1.51342292311652,0.365,0.269,0.000842609024579517,"NDUFAF3","Up in Severe"
"TOB1",3.67409571039524e-08,-0.58621818798474,0.208,0.291,0.000856468451050235,"TOB1","Up in Mild"
"CXCL8",3.71261465673108e-08,2.57763532764653,0.264,0.093,0.000865447602630583,"CXCL8","Up in Severe"
"USP36",4.14178251464589e-08,-1.05026389276582,0.165,0.285,0.000965490921989102,"USP36","Up in Mild"
"AKNA",4.37207243633894e-08,-0.75372801641391,0.397,0.535,0.00101917380563497,"AKNA","Up in Mild"
"PAXX",5.08026972560593e-08,-0.623148116905563,0.353,0.482,0.001184261675736,"PAXX","Up in Mild"
