"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.10219451243884e-05,1.28630111129312,0.359,0.133,0.490042562794617,"7","SLC36A4"
2.10840104567201e-05,0.54401389596279,0.477,0.279,0.491489367756603,"7","CAT"
2.11976999426891e-05,0.632475440859741,0.284,0.131,0.494139583364026,"7","FAM78A"
2.13449275375028e-05,0.622138749152212,0.418,0.219,0.497571605826727,"7","SUPT6H"
2.14339189802289e-05,0.89910915266333,0.459,0.21,0.499646085348117,"7","NCSTN"
2.18215941953131e-05,0.767148323561094,0.332,0.161,0.508683182286943,"7","EIF2AK4"
2.18889990403658e-05,1.83918639414472,0.327,0.089,0.510254456629966,"7","GPR35"
2.21538273912072e-05,0.533307765512541,0.628,0.362,0.51642787031643,"7","HDGF"
2.22789959764218e-05,0.689317109889956,0.571,0.302,0.519345675206367,"7","SHOC2"
2.22907746945139e-05,0.945085741592776,0.769,0.411,0.519620248903813,"7","CTNNB1"
2.24076191749321e-05,0.547076409282808,0.684,0.432,0.522344010586841,"7","EWSR1"
2.2515367473445e-05,1.19852708745269,0.444,0.172,0.524855731173477,"7","KIAA0232"
2.25218228315452e-05,1.17091768760394,0.282,0.105,0.525006212026149,"7","DNAJC13"
2.26188484342778e-05,1.1858947963195,0.369,0.139,0.527267975851449,"7","SOAT1"
2.28139425199641e-05,0.585238264836307,0.645,0.372,0.531815814082883,"7","PREX1"
2.30506436546799e-05,0.642122639863464,0.288,0.139,0.537333554234244,"7","CCDC159"
2.31257496761606e-05,1.17082805974511,0.311,0.115,0.539084350700979,"7","TFE3"
2.31832959287382e-05,1.01218364519409,0.42,0.186,0.540425811394816,"7","NUP62"
2.36727590215453e-05,0.562652697906835,0.45,0.249,0.551835685551242,"7","GPBP1L1"
2.37021687176541e-05,1.17686641004057,0.463,0.184,0.552521254977235,"7","TMED7"
2.38119163332577e-05,0.925696298502808,0.532,0.234,0.55507958164457,"7","ARL8B"
2.40300908416684e-05,0.508439191673488,0.356,0.193,0.560165447610133,"7","BLCAP"
2.4206101782085e-05,0.780995205250086,0.342,0.153,0.564268438642183,"7","KDM3B"
2.42351877517806e-05,0.690185396899264,0.305,0.145,0.564946461681758,"7","POR"
2.47981847753082e-05,0.974894424660246,0.353,0.14,0.578070485297211,"7","MTMR3"
2.49203278246927e-05,0.850520667999601,0.343,0.151,0.580917761921411,"7","AVL9"
2.50813567068358e-05,0.68947929025306,0.291,0.144,0.58467150619305,"7","ZRANB1"
2.5420103512317e-05,0.716499193909555,0.379,0.181,0.59256803297562,"7","GAPVD1"
2.5634883575563e-05,0.57127048002356,0.32,0.163,0.597574771029949,"7","SNX14"
2.56507072272308e-05,0.822063618296996,0.483,0.231,0.597943636173978,"7","SEL1L"
2.60099662708472e-05,0.924598130908231,0.262,0.117,0.606318323739719,"7","RBM12"
2.60647444200143e-05,1.2411917592622,0.275,0.096,0.607595257174953,"7","IL18"
2.67574079590831e-05,1.69821739626656,0.28,0.079,0.623741936934186,"7","IL15"
2.71473920782406e-05,0.915036560825996,0.442,0.18,0.632832856735867,"7","MICU1"
2.81866460822279e-05,0.815800070843105,0.27,0.115,0.657058906822815,"7","NF1"
2.83798844311139e-05,0.502734200570228,0.462,0.265,0.661563485973696,"7","PRKAR2A"
2.92859854764798e-05,0.815125571346748,0.324,0.142,0.682685607442221,"7","UBE2W"
2.95189423125288e-05,0.568348301981165,0.327,0.173,0.688116064247358,"7","HDAC7"
2.96253396000684e-05,1.65192853428927,0.348,0.101,0.690596291417196,"7","SLC16A6"
2.98157039402155e-05,0.846191267530386,0.318,0.15,0.695033874550364,"7","MTF1"
3.04750019256439e-05,0.72754790476672,0.457,0.224,0.710402769888686,"7","FGD5-AS1"
3.09489793049354e-05,1.31598673371998,0.321,0.126,0.721451656577348,"7","MAP1S"
3.11308436372305e-05,0.757442323981004,0.519,0.251,0.725691096027479,"7","NBEAL2"
3.12568868991371e-05,1.16828511070607,0.398,0.146,0.728629290505785,"7","MSRB2"
3.19360310903989e-05,0.840809770287799,0.339,0.155,0.744460820748289,"7","SCLT1"
3.20174942864528e-05,0.713398140724659,0.489,0.258,0.746359809311502,"7","DYNC1LI2"
3.204070742935e-05,0.82734154815924,0.335,0.152,0.746900930885579,"7","BTBD7"
3.28164314923769e-05,1.00921516300756,0.308,0.121,0.764983834518798,"7","DHX57"
3.34459585980836e-05,0.745089654428994,0.58,0.299,0.779658740879926,"7","TMED5"
3.40729773048633e-05,0.632669967774099,0.418,0.214,0.794275173953668,"7","VEZF1"
3.43050448478644e-05,1.23210157691615,0.335,0.116,0.799684900448567,"7","RASGRP4"
3.58514086352721e-05,1.0154932984966,0.283,0.119,0.835732186696827,"7","ESRRA"
3.58751059482641e-05,0.911929572552594,0.396,0.178,0.836284594759984,"7","STAT5A"
3.58940185234892e-05,1.09573537983869,0.345,0.109,0.836725465801056,"7","ARHGAP21"
3.60764462393955e-05,1.0366797811243,0.411,0.177,0.840978038286549,"7","SLC12A9"
3.66027744434166e-05,1.44967812501591,0.465,0.16,0.853247275050485,"7","AGO1"
3.77497037081073e-05,0.594698512194095,0.69,0.419,0.879983343139689,"7","BAZ2A"
3.86601219346338e-05,0.853133788805972,0.516,0.256,0.901206102418249,"7","UBE2Z"
3.86918162015949e-05,0.586252806732402,0.353,0.171,0.901944927475378,"7","MAFG"
3.87359984868452e-05,1.52411200576866,0.264,0.077,0.902974860726848,"7","ACSS2"
4.04036958279262e-05,0.508559476065752,0.36,0.185,0.941850553444788,"7","RASGEF1B"
4.06678015039071e-05,1.07976117223559,0.534,0.259,0.948007120857579,"7","SKIL"
4.14928245101706e-05,0.714942092716689,0.671,0.37,0.967239232156587,"7","HM13"
4.19867713789019e-05,0.890295433373215,0.573,0.285,0.978753627613583,"7","TRIM44"
4.31941788321505e-05,0.685556223428956,0.676,0.403,1,"7","PNRC2"
4.36016715579876e-05,1.02096239807739,0.351,0.14,1,"7","KLF7"
4.38574495964007e-05,0.661165241182896,0.427,0.143,1,"7","AL034397.3"
4.51058367253508e-05,0.982145527307421,0.466,0.212,1,"7","PELI1"
4.54946530588303e-05,0.547988656624049,0.46,0.271,1,"7","RRP7A"
4.60820288987525e-05,0.630418824004005,0.282,0.133,1,"7","VPS41"
4.61253020133553e-05,1.11709763760992,0.259,0.106,1,"7","DNASE1L1"
4.64470142992741e-05,0.796371364251615,0.571,0.28,1,"7","RRBP1"
4.70418830277002e-05,1.09780942558112,0.365,0.133,1,"7","AC245128.3"
4.73113629515426e-05,0.774926232401074,0.347,0.168,1,"7","SNX20"
4.92216014855933e-05,1.07644349069242,0.467,0.195,1,"7","FRAT2"
4.93560447182148e-05,1.18420334460537,0.485,0.182,1,"7","KDM7A"
4.95420549114292e-05,0.59736882143492,0.426,0.225,1,"7","DNAJB12"
5.0534591007053e-05,0.874377672861576,0.611,0.304,1,"7","HADHB"
5.13402067543984e-05,1.04092135404967,0.471,0.211,1,"7","ATP2A2"
5.36957622860964e-05,1.11076968374347,0.293,0.11,1,"7","EDEM3"
5.39299511872775e-05,0.515133095893521,0.969,0.793,1,"7","ELOB"
5.43351637696422e-05,0.594915161076294,0.301,0.144,1,"7","GSE1"
5.47770872089574e-05,0.679381977606576,0.316,0.155,1,"7","MR1"
5.52551987912112e-05,0.767264491616554,0.275,0.135,1,"7","DHRS4"
5.54248323409235e-05,0.975204313034195,0.425,0.182,1,"7","PDLIM5"
5.54529005899549e-05,1.05145574944625,0.475,0.197,1,"7","GMIP"
5.60752679776379e-05,0.88289526523761,0.262,0.112,1,"7","RAB20"
5.76300727515692e-05,0.954616454510872,0.287,0.121,1,"7","POGK"
5.94400279559211e-05,0.860295360657644,0.472,0.227,1,"7","AFTPH"
5.97076923095705e-05,0.598922449081161,0.833,0.545,1,"7","ATP5PD"
6.03832738569326e-05,1.30027126385901,0.285,0.098,1,"7","GLMP"
6.05328553493242e-05,0.703356524685102,0.397,0.201,1,"7","EFR3A"
6.11721934001942e-05,1.4799989214764,0.364,0.113,1,"7","NOTCH1"
6.31417795503296e-05,0.744985325188305,0.385,0.184,1,"7","GATAD1"
6.39697131390872e-05,1.20549438987715,0.251,0.086,1,"7","TSPAN4"
6.40895265785859e-05,0.666876924796401,0.574,0.312,1,"7","LSM10"
6.42632604045437e-05,0.723268327303732,0.479,0.236,1,"7","SLC38A10"
6.46258799262263e-05,0.917835727785535,0.475,0.22,1,"7","MSL1"
6.46387720049137e-05,0.570964682641771,0.332,0.169,1,"7","FOXN2"
6.54877703803582e-05,0.693158543002537,0.701,0.383,1,"7","TWF2"
6.67147428132607e-05,1.12593911553019,0.336,0.114,1,"7","SLC44A1"
6.78317205993687e-05,0.841541672536195,0.498,0.25,1,"7","SERPINB9"
6.88308583681807e-05,0.515923281377785,0.324,0.174,1,"7","ZCCHC2"
6.92005090037389e-05,0.826174612257268,0.447,0.213,1,"7","UBE2E1"
6.94769007827802e-05,0.665475195817839,0.331,0.171,1,"7","VAV1"
7.13582934345727e-05,0.79265274198878,0.377,0.169,1,"7","GSR"
7.13951505149071e-05,0.653053077767368,0.481,0.254,1,"7","AP3B1"
7.39639912383757e-05,0.520354501838804,0.773,0.515,1,"7","CSNK1A1"
7.88470424600597e-05,0.584970017939344,0.312,0.164,1,"7","OXR1"
7.8896465279082e-05,0.504462836672787,0.871,0.604,1,"7","PSMB3"
8.11090874865598e-05,0.732532756028203,0.347,0.167,1,"7","STK11"
8.1110458857387e-05,1.39320861328821,0.299,0.096,1,"7","FHOD1"
8.27221755901613e-05,0.520230945284077,0.292,0.148,1,"7","PAXBP1"
8.5585196253177e-05,0.554485865228487,0.339,0.174,1,"7","PCYT1A"
